model number,machine code,Description,Is IDU,Price,AHRI,EER,SEER,HSPF,EER2,SEER2,HSPF2-4,HSPF2-5,Btu@95min,Btu@95rated,Btu@95max,kW@95min,kW@95rated,kW@95max,COP@95min,COP@95rated,COP@95max,Btu@82min,Btu@82rated,Btu@82max,kW@82min,kW@82rated,kW@82max,COP@82min,COP@82rated,COP@82max,Btu@47min,Btu@47rated,Btu@47max,kW@47min,kW@47rated,kW@47max,COP@47min,COP@47rated,COP@47max,Btu@17min,Btu@17rated,Btu@17max,kW@17min,kW@17rated,kW@17max,COP@17min,COP@17rated,COP@17max,Btu@5min,Btu@5rated,Btu@5max,kW@5min,kW@5rated,kW@5max,COP@5min,COP@5rated,COP@5max,Btu@lowest min,Btu@lowest rated,Btu@lowest max,kW@lowest min,kW@lowest rated,kW@lowest max,COP@lowest min,COP@lowest rated,COP@lowest max,lowest temperature
KW12XQ19SDI,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KW18XQ19SDI,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KW24XQ19SDI,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KW09XQ25SDI,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KW12XQ25SDI,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KW30XQ21SDO,,,0,,215876652,10.90 ,22.00 ,9.00 ,10.90 ,22.00 ,9.00 ,7.00 ,7780.00 ,30000.00 ,33000.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,24000.00 ,27000.00 ,1.35 ,2.76 ,3.80 ,1.85 ,2.55 ,2.08 ,7500.00 ,23000.00 ,23000.00 ,1.30 ,3.74 ,3.74 ,1.69 ,1.80 ,1.80 ,6100.00 ,-999999.00 ,16900.00 ,1.30 ,-999999.00 ,3.80 ,1.38 ,-999999.00 ,1.30 ,-13.00 
KW09XQ19SDO,,,0,,217022903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KW12XQ19SDO,,,0,,217022905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KW18XQ19SDO,,,0,,217022906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KW24XQ19SDO,,,0,,217022907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KW09XQ25SDO,,,0,,216372814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KW12XQ25SDO,,,0,,216372816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KW30XQ21SDO,,,0,,215876652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KM18X60,,,0,,215708441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
